AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;01;12;Castellón/Castelló;005;Alcora, l';S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;1
2026;01;12;Castellón/Castelló;138;Vinaròs;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;17
2026;01;12;Castellón/Castelló;082;Nules;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;2
2026;01;03;Alicante/Alacant;047;Calp;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;14
2026;01;12;Castellón/Castelló;089;Peníscola/Peñíscola;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;6
2026;01;03;Alicante/Alacant;014;Alacant/Alicante;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;13
2026;01;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;8
2026;01;12;Castellón/Castelló;027;Benicarló;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;13
2026;01;46;Valencia/València;109;Cheste;S ;SERVICIOS;1;Directores y gerentes;H;Hombre;>44  ;1
2026;01;46;Valencia/València;250;València;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;188
2026;01;46;Valencia/València;179;Navarrés;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;28
2026;01;46;Valencia/València;007;Albal;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;4
2026;01;03;Alicante/Alacant;014;Alacant/Alicante;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;75
2026;01;03;Alicante/Alacant;050;Campello, el;C ;CONSTRUCCIÓN;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;2
2026;01;03;Alicante/Alacant;063;Dénia;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;<25  ;4
2026;01;46;Valencia/València;072;Bocairent;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;3
2026;01;46;Valencia/València;244;Torrent;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;8
2026;01;46;Valencia/València;190;Paterna;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;72
2026;01;03;Alicante/Alacant;065;Elx/Elche;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;14
2026;01;03;Alicante/Alacant;014;Alacant/Alicante;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;107
2026;01;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;19
2026;01;03;Alicante/Alacant;066;Elda;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;16
2026;01;03;Alicante/Alacant;079;Ibi;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;13
2026;01;03;Alicante/Alacant;099;Orihuela;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;130
2026;01;03;Alicante/Alacant;026;Beniarbeig;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;2
2026;01;03;Alicante/Alacant;076;Guardamar del Segura;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;8
2026;01;03;Alicante/Alacant;065;Elx/Elche;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;64
2026;01;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;117
2026;01;12;Castellón/Castelló;032;Borriana/Burriana;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;14
2026;01;12;Castellón/Castelló;135;Vila-real;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;28
2026;01;03;Alicante/Alacant;093;Novelda;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;7
2026;01;03;Alicante/Alacant;079;Ibi;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;11
2026;01;03;Alicante/Alacant;043;Biar;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;8
2026;01;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;23
2026;01;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;16
2026;01;46;Valencia/València;244;Torrent;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;13
2026;01;46;Valencia/València;184;Ontinyent;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2026;01;46;Valencia/València;060;Benifaió;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;5
2026;01;46;Valencia/València;230;Silla;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;22
2026;01;46;Valencia/València;158;Macastre;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;01;46;Valencia/València;083;Carcaixent;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;18
2026;01;03;Alicante/Alacant;082;Xàbia/Jávea;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;3
2026;01;03;Alicante/Alacant;056;Cocentaina;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;4
2026;01;46;Valencia/València;190;Paterna;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;21
2026;01;46;Valencia/València;109;Cheste;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2026;01;46;Valencia/València;184;Ontinyent;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;>44  ;1
2026;01;46;Valencia/València;194;Picassent;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;12
2026;01;46;Valencia/València;176;Montroi/Montroy;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2026;01;46;Valencia/València;078;Burjassot;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;11
2026;01;46;Valencia/València;238;Tavernes de la Valldigna;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2026;01;46;Valencia/València;021;Aldaia;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;94
2026;01;46;Valencia/València;025;Alfara del Patriarca;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;6
2026;01;46;Valencia/València;113;Daimús;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;2
2026;01;46;Valencia/València;109;Cheste;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;14
2026;01;46;Valencia/València;250;València;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;54
2026;01;46;Valencia/València;176;Montroi/Montroy;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2026;01;46;Valencia/València;250;València;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;16
2026;01;46;Valencia/València;085;Carlet;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;30
2026;01;46;Valencia/València;220;Sagunt/Sagunto;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;25
