AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;46;Valencia/València;110;Xirivella;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;3
2026;03;46;Valencia/València;211;Real de Gandia, el;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;<25  ;3
2026;03;46;Valencia/València;077;Buñol;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;3
2026;03;46;Valencia/València;190;Paterna;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;>44  ;28
2026;03;46;Valencia/València;111;Chiva;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;23
2026;03;46;Valencia/València;214;Riba-roja de Túria;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;14
2026;03;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;11
2026;03;46;Valencia/València;250;València;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;58
2026;03;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;55
2026;03;46;Valencia/València;085;Carlet;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;6
2026;03;03;Alicante/Alacant;009;Alcoi/Alcoy;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;32
2026;03;03;Alicante/Alacant;015;Almoradí;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
2026;03;03;Alicante/Alacant;113;Rojales;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;8
2026;03;03;Alicante/Alacant;903;Montesinos, los;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;10
2026;03;03;Alicante/Alacant;083;Xixona/Jijona;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;12
2026;03;12;Castellón/Castelló;012;Altura;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;2
2026;03;12;Castellón/Castelló;135;Vila-real;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;21
2026;03;12;Castellón/Castelló;009;Almassora;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;9
2026;03;03;Alicante/Alacant;095;Ondara;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;1
2026;03;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;26
2026;03;03;Alicante/Alacant;079;Ibi;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;29
2026;03;03;Alicante/Alacant;049;Callosa de Segura;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;8
2026;03;12;Castellón/Castelló;078;Montán;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;3
2026;03;12;Castellón/Castelló;082;Nules;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;10
2026;03;12;Castellón/Castelló;021;Betxí;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;4
2026;03;03;Alicante/Alacant;009;Alcoi/Alcoy;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;41
2026;03;12;Castellón/Castelló;084;Onda;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;17
2026;03;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;<25  ;103
2026;03;03;Alicante/Alacant;081;Xaló;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;1
2026;03;46;Valencia/València;035;Almussafes;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;7
2026;03;46;Valencia/València;250;València;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;40
2026;03;46;Valencia/València;001;Ademuz;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;1
2026;03;46;Valencia/València;187;Palma de Gandía;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;4
2026;03;46;Valencia/València;081;Canals;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;3
2026;03;46;Valencia/València;181;Oliva;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;19
2026;03;46;Valencia/València;248;Turís;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;5
2026;03;46;Valencia/València;017;Alzira;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;11
2026;03;03;Alicante/Alacant;059;Crevillent;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;10
2026;03;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;148
2026;03;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;2
2026;03;46;Valencia/València;250;València;A ;AGRICULTURA;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;1
2026;03;46;Valencia/València;131;Gandia;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;35
2026;03;03;Alicante/Alacant;042;Poble Nou de Benitatxell, el/Benitachell;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;4
